U_ID,ID,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q31,Q32,Average
A278,4740,4,4,3,3,3,4,4,3,3,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,3.64
A357,4750,4,4,5,5,5,3,3,5,1,1,1,1,3,1,1,2,1,1,1,5,5,3,1,4,5,2.84
A276,4755,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4.16
A358,4752,4,3,4,3,5,4,4,5,3,5,5,4,4,4,4,5,5,5,4,4,5,5,4,5,5,4.32
A292,4224,4,5,5,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,4.64
A287,4232,4,4,4,5,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4
A293,4236,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,4,4,4.08
A288,4229,4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4.72
A290,4219,4,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,4,5,5,5,5,5,5,4.72
A295,4773,4,5,5,5,4,5,5,4,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4.76
A296,4760,4,4,4,4,4,4,4,2,3,4,4,3,4,3,4,4,2,4,3,4,5,4,4,5,5,3.8
A294,4767,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.84
A303,4775,4,4,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,4.72
A299,4768,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,5,4,5,5,4.36
A300,4763,4,3,2,4,3,5,3,3,4,3,4,4,4,4,3,5,4,3,4,5,5,5,4,5,5,3.92
A304,4770,4,3,3,4,3,4,3,3,4,4,4,4,4,4,3,3,5,5,5,5,5,5,4,5,5,4.04
A302,4765F,4,4,5,4,4,5,4,4,5,5,5,5,4,3,4,4,5,5,5,5,5,5,5,5,5,4.56
A301,4771,4,4,4,3,3,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3.92
A314,4822,4,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,5,4.68
A313,4819,4,4,4,5,4,4,4,4,5,4,3,5,4,4,4,5,5,5,4,5,5,5,5,5,5,4.44
A311,4825,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,3,3,4,4,4,4,4,3.92
A317,4824,4,5,4,4,5,5,5,5,2,4,4,3,5,4,5,4,4,3,4,5,5,4,5,5,4,4.28
A318,4781,4,4,5,5,3,4,4,3,2,4,3,3,4,3,2,4,3,3,3,5,4,4,4,5,5,3.72
A329,4783,4,4,4,5,2,4,4,3,4,3,4,3,3,4,2,4,3,2,3,5,5,4,2,5,5,3.64
A319,4789,4,4,4,4,3,4,5,4,4,5,4,4,2,3,3,5,5,5,5,5,5,5,5,5,5,4.28
A320,4786,4,4,4,4,3,4,4,4,3,4,5,4,3,4,4,4,5,4,4,5,5,5,4,5,5,4.16
A328,4780,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,3,4,5,5,4.2
A331,4802,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4,3.64
A332,4814,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,5,4,3.8
A330,4408,4,3,4,3,4,4,4,4,3,2,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3.64
A336,4807,4,4,4,4,3,4,4,2,5,4,4,4,5,5,4,5,4,4,5,5,4,4,5,4,4,4.16
A335,4799,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4.08
A333,4805,4,3,3,3,3,4,4,2,4,3,4,5,3,4,4,4,4,3,4,4,4,4,4,4,4,3.68
A344,4828,4,4,2,5,3,4,4,4,2,3,3,4,3,3,3,4,4,2,3,4,4,3,4,4,4,3.48
A343,4831,4,3,5,5,3,5,4,4,3,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4.4
A352,4845,4,4,4,4,4,4,4,4,4,5,5,5,4,4,3,4,4,4,5,5,4,5,4,4,5,4.24
A356,4841,4,4,3,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.52
A355,4839,4,2,2,4,3,4,4,3,3,3,3,4,3,3,4,5,4,4,2,4,4,3,4,4,4,3.48
A359,4860,4,4,4,5,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,5,3.84
A365,4861,4,4,3,3,3,4,3,3,4,5,4,4,4,3,4,4,5,4,4,4,4,4,4,5,5,3.92
A360,4871,4,4,5,5,5,4,4,3,3,3,3,4,3,4,3,4,4,4,5,4,5,4,4,4,5,4
A367,4870,4,3,4,4,4,4,4,4,1,3,3,2,3,2,4,4,4,3,3,3,4,3,3,3,4,3.32
A366,4863,4,5,5,5,3,4,5,5,3,4,3,3,4,4,4,2,4,3,5,4,4,4,4,4,4,3.96
A364,4868,4,5,5,5,5,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.8
A368,4897,4,4,4,4,3,5,4,4,4,4,4,5,4,4,4,5,4,4,3,4,4,4,4,5,4,4.08
A387,4919,4,5,4,5,5,4,4,5,3,5,3,4,4,3,4,4,4,4,4,5,4,5,5,5,5,4.28
A383,4908,4,4,4,5,4,5,5,5,3,4,4,5,5,4,4,5,5,4,4,4,5,4,4,5,5,4.4
A374,4910,4,4,4,5,3,4,5,3,4,5,4,4,4,4,5,5,4,4,3,5,5,4,4,5,5,4.24
A385,4878,4,4,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4.76
A378,4879,4,5,5,5,3,5,4,4,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5,5,4,4.56
A382,4900,4,4,5,4,5,4,5,5,4,4,5,4,3,4,3,4,5,4,4,5,5,5,3,5,5,4.32
A376,4927,4,3,3,4,3,5,4,3,3,5,4,4,5,4,3,4,4,4,4,4,5,4,4,4,4,3.92
A391,4917,4,3,4,4,4,4,4,4,5,5,5,4,4,3,5,4,4,5,4,4,4,5,4,4,4,4.16
A399,4886,4,3,4,4,5,4,3,4,5,5,4,5,3,4,4,5,5,5,5,5,4,4,5,5,5,4.36
A381,4903,4,2,4,3,4,3,4,4,5,4,3,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4.16
A370,4887,4,4,5,4,4,4,4,4,4,5,4,4,5,4,5,4,5,4,5,4,4,4,4,3,4,4.2
A388,4899,4,4,5,5,3,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4,4,5,4,5,4,4.24
A394,4933,4,2,3,4,4,3,3,3,4,4,4,4,4,4,5,5,4,4,4,3,4,5,4,4,4,3.84
A395,4937,4,3,3,4,5,5,4,4,3,5,3,3,4,3,2,4,4,2,4,4,4,2,4,3,4,3.6
A396,4950,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,5,4,5,5,4,3,5,5,4.16
A398,4957,4,4,4,3,4,5,5,4,3,4,4,4,5,4,5,4,5,4,4,5,5,5,4,5,4,4.28
A399,4930,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4.12
A403,4928,4,4,4,4,4,5,5,5,4,4,5,5,4,3,5,4,4,5,5,5,5,5,4,5,5,4.48
A404,4952,4,5,4,5,3,4,4,4,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.52
A405,4947,4,5,4,5,4,4,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4.64
A406,4942,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,3.96
A408,4948,4,4,5,4,4,4,4,4,3,4,5,4,4,5,4,4,4,4,4,5,5,4,4,5,5,4.24
A409,4936,4,4,4,4,4,3,4,4,4,4,5,4,4,3,4,4,4,4,4,5,5,5,4,5,4,4.12
A410,4943,4,4,4,5,4,4,5,4,4,4,5,4,4,3,3,4,5,3,4,5,5,4,4,5,5,4.2
A411,4941,4,3,5,4,5,5,4,4,3,3,4,3,4,3,2,3,5,4,5,5,5,5,5,5,5,4.12
A413,4935,4,4,4,5,4,5,4,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4.6
A414,4931,4,5,5,5,5,3,4,4,2,2,4,4,3,4,1,3,5,5,5,5,4,4,5,5,5,4.04
A415,4949,4,4,5,4,5,5,4,3,4,4,5,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4.16
A7,4244,5,2,1,3,2,5,5,3,1,4,4,5,5,4,4,4,4,5,NA,2,4,5,4,5,4,3.75
A6,4241,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,4.95833333333333
A5,4247,5,5,5,5,4,5,5,5,3,5,4,4,4,4,5,4,5,5,NA,5,5,5,5,4,5,4.625
A13,4259,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,NA,5,5,4,5,5,5,4.83333333333333
A12,4257,5,5,5,5,5,5,5,5,3,3,4,4,3,3,3,4,3,4,NA,5,5,4,3,5,5,4.20833333333333
A11,4250,5,4,4,5,5,5,5,5,3,4,4,4,3,5,4,4,4,5,NA,5,5,5,5,5,5,4.5
A19,4287,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,5,NA,5,5,5,NA,5,5,4.82608695652174
A23,4294F,5,5,5,5,4,4,5,5,4,5,5,5,5,NA,4,4,5,5,NA,4,5,5,5,5,5,4.73913043478261
A21,4275,5,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,NA,5,5,5,5,5,5,4.75
A22,4293F,5,5,5,4,5,4,5,3,4,5,5,3,5,5,4,5,5,4,NA,5,5,5,4,5,5,4.58333333333333
A18,4273,5,5,4,5,4,4,4,4,5,4,4,5,5,3,5,5,5,5,NA,5,5,5,5,5,5,4.625
A28,4249,5,4,5,4,5,4,5,4,4,5,5,4,4,5,5,5,4,5,5,4,4,4,5,4,4,4.48
A42,4290,5,5,5,5,4,4,5,4,4,4,4,3,3,4,4,5,4,4,4,5,5,4,4,4,4,4.24
A47,4304,5,4,5,5,5,4,5,5,5,4,4,4,5,4,5,4,5,5,4,5,4,4,5,4,4,4.52
A53,4322,5,3,3,3,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4.56
A45,4309,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92
A59,4299,5,4,5,5,4,5,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4.6
A57,4301,5,4,4,4,4,5,4,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4.6
A69,4327,5,3,4,4,3,5,4,5,3,3,5,5,5,3,4,5,4,5,5,5,5,5,5,5,5,4.4
A65,4324,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.88
A74,4342,5,5,5,2,4,5,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4.48
A126,4352,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A73,4328,5,4,5,5,5,5,4,4,4,3,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,4.56
A87,4396,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4.76
A93,4022,5,3,4,4,4,4,3,2,5,5,5,5,4,4,5,5,5,3,4,5,5,5,4,5,5,4.32
A81,4422,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A83,4407,5,4,4,4,4,4,4,5,4,5,5,4,4,5,3,4,5,4,4,4,4,4,4,4,5,4.24
A104,4447,5,5,5,4,4,5,5,4,4,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4.68
A100,4459,5,5,5,5,5,5,5,5,4,3,4,4,3,4,4,3,4,4,4,4,5,4,4,5,5,4.32
A109,4448,5,3,5,4,4,5,5,4,4,5,5,5,4,5,3,5,5,5,4,5,4,5,5,4,4,4.48
A105,4458,5,4,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4.72
A116,4384,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.92
A121,4383,5,4,4,4,4,5,4,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4.68
A117,4368,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92
A120,4394,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4.84
A133,4279F,5,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4.56
A127,4334,5,4,4,5,4,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4.24
A128,4341,5,5,5,5,5,5,5,4,3,3,5,5,5,5,3,5,4,4,4,5,5,5,4,5,4,4.52
A144,4430,5,5,5,5,3,4,5,3,3,4,4,4,3,4,5,5,5,2,3,5,5,5,3,5,5,4.2
A141,4437,5,5,5,4,5,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4.72
A134,4428,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5,4.28
A138,4436,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4.76
A136,4433,5,5,5,5,4,5,4,4,4,4,5,5,4,5,3,4,5,5,5,5,5,5,5,5,5,4.64
A147,4344,5,5,5,5,5,5,4,5,2,5,4,4,3,2,5,5,5,4,4,5,5,3,4,5,5,4.36
A156,4531,5,4,5,4,5,5,5,5,3,5,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5,4.64
A157,4540,5,5,5,5,5,5,4,5,2,2,1,1,1,2,3,3,5,4,5,5,5,4,4,5,5,3.84
A159,4559,5,5,5,5,4,5,5,4,5,4,4,4,4,4,4,5,4,4,5,5,5,4,4,5,5,4.52
A164,4568,5,5,5,5,3,5,5,4,5,4,4,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4.48
A172,4543,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.96
A151,4546,5,4,3,4,4,4,3,4,4,5,5,4,4,4,5,4,4,4,5,5,4,4,5,5,4,4.24
A181,4479,5,5,5,4,5,5,4,4,5,3,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4.6
A195,4495,5,5,4,5,5,5,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5,4.68
A188,4461,5,4,3,4,4,4,3,4,2,3,4,5,3,3,4,4,5,5,4,4,4,5,5,5,4,4
A179,4507,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A202,4476,5,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4.68
A192,4519,5,5,5,5,4,5,4,4,4,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,5,4.64
A190,4482,5,4,5,5,4,5,5,5,3,4,5,5,3,5,3,5,5,5,5,5,5,4,5,5,5,4.6
A225,4710,5,5,5,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.84
A224,4693,5,5,5,5,5,4,4,5,4,4,4,4,4,3,3,4,5,3,4,4,5,4,3,5,5,4.24
A228,4704,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.84
A227,4708,5,5,5,5,4,5,5,5,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,4.8
A235,4725,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.88
A240,4722,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4.88
A236,4727,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4.84
A232,4720,5,5,5,5,5,5,5,5,4,4,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,4.72
A230,4730,5,5,4,4,4,4,4,5,3,5,3,4,3,4,3,4,5,5,5,5,4,4,5,5,5,4.28
A238,4371,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4,4.64
A245,4765,5,5,5,5,5,5,4,5,5,3,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4.72
A250,5762,5,4,4,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8
A244,4758,5,5,4,4,4,5,4,5,5,5,5,5,3,3,5,4,5,4,5,5,5,5,4,5,5,4.56
A252,4578,5,4,4,4,5,5,4,5,3,4,4,4,3,3,3,5,5,5,4,5,5,5,5,5,5,4.36
A268,4619,5,4,4,4,5,4,4,4,3,4,3,5,5,4,1,5,5,5,4,5,5,5,5,5,5,4.32
A262,4585,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4.88
A274,4596,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92
A261,4621,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4.88
A285,4760F,5,4,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4.72
A275,4746,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A289,4230,5,4,5,5,5,5,4,5,5,3,4,4,4,5,4,4,4,4,4,5,5,5,4,5,5,4.48
A298,4777,5,4,5,5,4,5,5,3,3,3,3,3,3,4,3,5,4,4,5,5,5,2,4,5,5,4.08
A297,4778,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.96
A305,4419,5,5,4,5,5,5,5,5,3,4,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,4.68
A308,4686,5,5,4,5,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.8
A316,4815,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A310,4821,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4.88
A312,4816,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92
A315,4817,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
A326,4779,5,5,5,3,3,5,2,3,5,4,5,4,4,5,3,3,5,5,5,4,4,5,4,5,5,4.24
A334,4801,5,4,5,4,3,5,5,3,3,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.56
A340,4813,5,5,5,4,3,5,3,1,5,5,4,4,3,4,2,2,4,2,5,5,5,5,4,5,5,4
A341,4836,5,5,5,5,5,5,5,5,4,3,4,4,3,4,3,4,4,4,4,5,5,4,4,5,5,4.36
A345,4826,5,5,5,5,4,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.84
A348,4832,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4.84
A350,4846,5,4,5,5,3,5,5,4,3,4,4,2,4,4,3,4,4,5,4,5,5,4,5,5,5,4.24
A354,4848,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5,5,4.52
A361,4869,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4.84
A363,4862,5,5,5,5,5,5,3,4,3,4,4,4,3,3,4,4,4,4,5,5,5,5,4,5,5,4.32
A390,4912,5,5,5,5,4,5,4,4,4,4,4,4,3,4,3,3,4,4,4,5,4,4,4,4,4,4.12
A386,4884,5,4,5,4,3,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.64
A379,4885,5,5,5,4,5,5,4,4,3,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4.64
A372,4911,5,5,4,4,4,5,5,4,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4.64
A371,4904,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,4,5,5,4.68
A377,4906,5,4,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4.68
A395,4896,5,3,4,4,5,5,4,5,3,5,5,5,4,2,3,5,5,5,5,5,5,5,5,5,5,4.48
A369,4898,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,4,3,4,3,5,5,4,3,5,5,4.44
A398,4888,5,4,5,5,5,5,5,5,5,5,5,4,1,5,1,4,4,5,5,5,5,5,5,5,4,4.48
A380,4901,5,5,4,4,4,5,4,4,3,3,4,4,4,4,2,4,5,5,3,5,5,5,5,4,4,4.16
A400,4920,5,4,5,5,5,5,5,5,5,4,4,4,4,4,3,5,4,5,4,5,5,5,5,5,5,4.6
A397,4932,5,5,5,5,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4.8
A402,4954,5,4,5,3,5,4,4,5,4,5,4,4,5,4,4,4,5,5,5,5,4,4,5,5,5,4.48
A407,4929,5,4,5,4,4,5,4,4,2,4,3,3,3,5,3,4,4,4,2,4,5,2,3,5,4,3.8
A412,4934,5,4,4,5,4,5,5,5,4,5,4,4,4,4,4,4,5,4,5,4,5,5,4,5,5,4.48
A68,4368F,4,4,4,3,4,3,4,4,4,5,5,5,4,3,5,4,5,5,3,3,5,5,5,3,4,4.12
A191,4468,4,1,4,2,4,1,4,3,4,4,5,5,5,5,5,5,5,5,3,2,5,5,5,5,4,4
A3,4267,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,NA,5,5,5,5,5,5,4.625
