"","ID","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q24"
"346","4668C",1,0.5,NA,1,0,0,1,0,1,0,1,1,1,0,1,0
"347","4669",1,0.5,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"348","4670",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"349","4672",1,0,0,1,1,1,0,1,1,1,1,1,0.5,1,1,1
"350","4673",1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
"351","4676",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"352","4677",0,0,0,0,1,0,0.5,NA,0,0,0,1,0.5,0.5,0,0
"353","4678",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"354","4681",1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0
"355","4683",1,0.5,NA,1,1,1,1,0,1,0,0,0,0.5,0.5,1,0
"356","4684",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"357","4686",0,0,0,0,1,0,0,1,0,1,0,0,0,0,NA,0
"358","4691",1,1,0,0,0,0,1,0,1,1,0,0,1,0.5,0,0
"359","4693",1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0
"360","4697",0,0.5,NA,0,1,0,0,1,0,1,0,0,0,0,1,0
"361","4698",0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
"362","4702",1,0,0,0,1,0,0,0,0,1,0,1,1,0.5,1,0
"363","4703",1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"364","4704",0,0.5,NA,0,1,0,0.5,NA,0,1,0,0,1,1,1,0
"365","4707",1,0.5,NA,0,1,0,1,0,0,1,1,1,0.5,0,1,1
"366","4710",1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1
"367","4712",1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"368","4714",1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
"369","4716",1,0.5,NA,0,1,0,1,0,0,1,0,0,0,1,NA,0
"370","4717",1,0,1,1,0,1,0.5,NA,0,1,0,0,1,1,1,1
"371","4718",1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
"372","4720",1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
"373","4722",1,1,1,0,1,0,0,1,0,1,0,0,0.5,1,NA,0
"374","4723",1,0,0,1,1,1,1,1,0,1,1,1,1,0.5,1,1
"375","4725",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"376","4726",0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0
"377","4727",0,0.5,NA,0,1,0,1,0,0,1,0,1,0,0.5,1,0
"378","4728",1,0.5,NA,0,1,0,1,1,0,1,0,0,0,0.5,1,1
"379","4729",1,1,1,0,0,0,0,1,0,1,0,0,0,0,NA,0
"380","4730",1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
"381","4731",0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1
"382","4733",0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0
"383","4736",1,1,1,0,1,0,1,0,0,0,0,0,0.5,1,1,0
"384","4737",0,0,1,0,1,0,1,0,0,1,0,0,0.5,0,1,0
"385","4739",1,1,0,0,0,0,0,1,0,0,1,1,0.5,1,1,0
"386","4740",1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1
"387","4742",1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
"388","4743",1,1,0,0,0,0,1,0,0,1,0,0,0.5,0,1,0
"389","4746",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
"390","4746B",1,1,0,0,1,0,1,1,0,1,0,1,0.5,0,NA,0
"391","4748",1,0.5,NA,1,0,1,0,0,0,1,1,1,0,1,0,0
"392","4750",0,1,0,0,1,0,0,0,0,1,0,0,1,1,NA,1
"393","4752",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"394","4753",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"395","4753B",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"396","4754",0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0
"397","4754B",0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
"398","4755",0,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,1
"399","4755B",0,1,1,0,1,0,1,0,0,0,0,1,0.5,0,1,1
"400","4756",1,1,0,0,0,1,1,0,0,1,0,0,0,0.5,1,0
"401","4756B",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"402","4758",0,0.5,NA,0,1,0,0,1,0,1,1,1,0.5,1,1,0
"403","4759",1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
"404","4760",1,0.5,NA,0,1,0,1,1,0,1,0,0,0.5,0,1,0
"405","4761",1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
"406","4762",1,1,1,0,0,0,1,1,0,0,0,1,0.5,1,NA,0
"407","4763",1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
"408","4763B",0,1,0,1,0,1,1,0,1,1,1,1,0.5,0.5,NA,1
"409","4764",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"410","4764F",0,0.5,NA,1,1,1,0,1,1,0,0,1,0.5,0.5,NA,0
"411","4765",0,0,0,0,1,1,0,1,0,1,0,0,0,0,NA,0
"412","4766",0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0
"413","4767",1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1
"414","4768",1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1
"415","4768B",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"416","4769",1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
"417","4769B",1,0.5,NA,0,1,0,1,1,0,1,0,1,0,0,1,0
"418","4770",1,1,1,0,1,0,1,0,0,1,1,1,0.5,0.5,1,0
"419","4771",1,1,0,0,0,0,1,1,0,1,1,1,0.5,0,1,0
"420","4771F",1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
"421","4773",0,0.5,NA,0,0,0,0.5,NA,0,1,0,0,0.5,0.5,1,0
"422","4775",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"423","4777",0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1
"424","4778",1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0
"425","4779",1,0.5,NA,0,1,0,1,1,1,1,1,1,0,0,NA,0
"426","4780",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"427","4781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"428","4782",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"429","4783",1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
"430","4784",1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"431","4785",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"432","4786",1,0,1,1,0,1,0,0,1,1,1,1,1,0,NA,1
"433","4787",1,0.5,NA,0,0,0,0.5,NA,0,1,0,0,0,0.5,NA,0
"434","4788",1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"435","4789",0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0
"436","4791",1,0.5,NA,0,1,0,0,1,0,1,0,0,0.5,0.5,0,0
"437","4793",1,0.5,NA,0,1,0,0,1,0,1,0,0,0.5,0.5,1,1
"438","4795",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"439","4796",1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0
"440","4799",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"441","4800",1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"442","4801",0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
"443","4802",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"444","4803",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"445","4805",0,0.5,NA,0,1,0,0,1,0,1,0,0,0,0,1,0
"446","4806",1,1,1,1,1,1,0,1,1,1,1,1,0.5,0,1,0
"447","4807",1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0
"448","4808",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"449","4809",1,1,1,1,1,0,0,1,1,1,1,1,1,0.5,1,1
"450","4810",1,0.5,NA,0,0,1,1,1,0,0,0,0,0,0.5,1,1
"451","4812",1,1,0,1,1,1,0,1,1,1,1,1,1,0.5,1,0
"452","4813",1,0.5,NA,1,1,1,0,0,1,1,1,1,0.5,1,NA,1
"453","4815",1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0
"454","4816",1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
"455","4817",1,1,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1
"456","4818",1,0.5,NA,0,0,0,0.5,NA,0,1,1,0,0.5,0.5,1,1
"457","4819",0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,0
"458","4820",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"459","4821",1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0
"460","4822",1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
"461","4824",0,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0,0
"462","4824I",0,0.5,NA,0,1,0,0,1,1,1,1,1,1,1,1,0
"463","4825",0,0,0,0,1,0,0.5,NA,0,1,0,0,0,0.5,1,1
"464","4826",0,0,0,0,1,0,0,1,0,1,0,0,0.5,1,1,1
"465","4827",1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0
"466","4828",0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"467","4829",0,0.5,NA,0,1,0,1,1,0,1,1,1,0.5,1,1,1
"468","4830",0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
"469","4831",1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0
"470","4832",0,0.5,NA,0,0,1,1,1,0,0,0,0,0.5,0,1,0
"471","4833",0,0,1,1,0,0,0,0,0,0,0,1,0.5,1,NA,0
"472","4834",1,0.5,NA,0,0,0,1,1,0,1,1,1,0.5,0,1,0
"473","4835",0,0.5,NA,1,1,0,0,1,1,1,1,1,0.5,1,1,1
"474","4836",0,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,1
"475","4837",0,0.5,NA,0,1,0,1,1,0,1,0,0,0.5,1,1,1
"476","4838",1,0.5,NA,1,1,1,1,1,0,1,0,0,0.5,1,1,1
"477","4839",1,1,1,0,1,0,1,1,0,1,0,0,0,0.5,1,1
"478","4842",1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1
"479","4845",1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
"480","4846",1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1
"481","4847",1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1
"482","4848",1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"483","4849",0,0.5,NA,0,1,0,0,1,0,1,0,1,0.5,0.5,1,0
"484","4850",0,0,0,0,1,0,1,0,0,1,0,0,0.5,0.5,0,0
"485","4852",1,0,0,0,1,0,1,0,0,1,0,1,0.5,0,1,0
"486","4855",0,0,1,1,0,1,0,1,1,0,1,0,1,0.5,1,0
"487","4856",1,0,0,1,1,0,0,1,1,1,0,0,0.5,0.5,1,0
"488","4857",1,0.5,NA,0,1,0,0,1,0,1,0,0,0,0,0,0
"489","4858",1,0.5,NA,0,1,0,1,1,0,1,0,0,0.5,0.5,0,0
"490","4859",1,1,0,0,1,0,0,1,0,1,0,0,0,1,NA,0
"491","4860",1,0.5,NA,0,0,0,1,0,0,1,0,0,0.5,1,0,1
"492","4861",0,0.5,NA,1,1,0,1,0,0,1,1,1,1,0,0,1
"493","4862",1,0.5,NA,1,1,1,1,1,1,1,1,1,1,0.5,1,1
"494","4863",1,0.5,NA,0,1,0,0,1,1,1,0,0,0,1,1,1
"495","4864",0,0.5,NA,0,1,0,1,0,0,0,0,1,0,0.5,1,0
"496","4866",1,0.5,NA,1,0,1,0,0,1,0,1,0,0.5,1,NA,0
"497","4868",1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1
"498","4869",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"499","4870",0,0,1,0,1,0,0,1,0,1,0,0,0.5,0,1,1
"500","4871",0,1,0,0,1,1,1,0,0,0,0,1,0.5,0.5,0,0
"501","4873",0,0.5,NA,0,1,0,0,1,0,1,0,0,0,0.5,1,1
"502","4874",1,0.5,NA,0,1,0,0,0,0,1,0,0,0.5,1,0,1
"503","4878",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"504","4879",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"505","4879F",0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0
"506","4880",1,1,1,0,1,0,0.5,NA,0,1,1,1,1,1,1,1
"507","4883",1,0,1,0,1,0,1,0,0,1,1,1,1,0,NA,1
"508","4884",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"509","4885",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"510","4886",1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"511","4887",1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1
"512","4888",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"513","4892",1,0.5,NA,0,0,1,0,1,0,0,1,0,1,1,1,0
"514","4895",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"515","4896",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"516","4897",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"517","4898",1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1
"518","48981",1,0,0,1,0,0,1,1,1,1,0,0,0.5,0,1,1
"519","48982",1,0.5,NA,0,0,0,0,1,0,0,0,0,0.5,0,1,1
"520","48991",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0
"521","48994",0,1,1,0,1,0,1,1,0,1,0,0,0,0,NA,1
"522","4900",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"523","4901",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"524","4902",1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1
"525","4903",1,0,1,0,1,0,1,1,0,1,0,0,0,0.5,1,0
"526","4904",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"527","4906",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
"528","4907",1,0.5,NA,1,1,0,1,0,0,1,0,0,1,0.5,0,0
"529","4908",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"530","4909",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"531","4910",1,1,0,1,1,1,0.5,NA,1,0,1,1,1,0.5,1,0
"532","4911",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"533","4912",1,0,1,1,1,1,0,1,1,1,1,1,0.5,1,1,0
"534","4913",1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
"535","4914",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"536","4917",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"537","4919",1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"538","4920",1,1,1,0,0,0,0.5,NA,0,1,1,0,0.5,0.5,1,1
"539","4921",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1
"540","4922",1,1,1,0,1,0,0,1,1,1,0,1,0.5,1,NA,1
"541","4923",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0
"542","4924",1,0,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1
"543","4926",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"544","4927",1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
