,ID,Gender,Certificate,Age,PostScore,PreScore,SS_ACC,FM_ACC,CB_ACC..2.,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,FM_stdres,CB_stdres,CBresid,SS_stdres,PostScore_stdres,PostScore_stdres,MG_S_stdres,SE_S_stdres,TV_stdres,MG_P_stdres,SE_P_stdres,PAV_stdres,PAp_stdres
130,4807,Male,IB,15.06,8,10,85.19,94.53,65.52,1.17,3.19,1.51,0.93,1.31,0.87,3.00,-1.28,-1.28,-0.39,-0.78,0.33,0.20,0.22,1.15,1.47
131,4815,Male,IB,13.18,5.5,8,56.48,82.03,55.17,0.78,-1.54,0.44,0.93,0.58,0.87,-1.49,-1.32,-1.32,2.36,2.20,2.37,1.62,1.77,1.26,0.81
132,4230,Female,IB,13.32,13,7,77.67,53.13,61.54,4.5,-1.07,2.01,4.84,2.18,4.53,-1.04,0.70,0.70,0.25,0.99,0.05,-2.99,0.51,1.58,0.91
133,4247,Male,IGCSE (British),13.06,14,7,96.3,96.09,62.5,-0.56,-0.01,-0.55,-0.44,-0.43,-0.41,0.05,1.07,1.07,0.51,1.34,0.18,0.08,0.87,-1.25,-1.60
134,4277,Male,IGCSE (British),13.06,12.5,9,90.74,96.88,71.88,-0.15,0.94,-2.57,-0.00,-2.53,-0.00,1.00,0.65,0.65,-0.62,-0.12,-1.02,-0.82,-0.46,-1.03,-0.76
135,4437,Female,IGCSE (British),13.71,12.5,7,89.81,97.66,78.13,-1.63,-0.52,-0.51,-1.90,-0.51,-1.77,-0.54,0.43,0.43,0.99,0.92,1.15,-0.27,-0.47,-0.69,-0.34
136,4455,Female,American Diploma,15.14,14,8,87.96,99.22,62.5,0.56,1.46,1.08,0.30,0.85,0.28,1.26,0.35,0.35,-1.96,-0.83,-1.87,-1.25,-0.49,-1.19,-1.32
137,4482,Female,IGCSE (British),12.66,3.5,7,85.19,56.25,53.85,1.08,-0.09,0.1,1.52,0.32,1.42,0.02,-1.69,-1.69,0.94,1.19,0.57,1.63,1.76,2.09,2.13
138,4779,Male,IB,14.19,15,7,84.26,87.5,65.63,2.71,2.61,1.03,2.59,0.99,2.42,2.52,0.95,0.95,0.14,-0.19,0.09,0.76,0.31,-0.51,-0.01
139,4855,Male,IB,13.41,13,9,70.37,93.75,75,0.27,0.46,0.56,0.27,0.66,0.26,0.47,0.67,0.67,-1.53,-1.93,-1.49,-0.92,-0.58,-1.77,-0.73
140,4861,Female,IB,12.48,10.5,7,64.81,88.28,45.16,-0.01,0.82,-1.38,0.45,-1.19,0.42,0.95,0.30,0.30,-0.34,-1.21,-0.19,-0.15,-1.12,-0.02,-0.35
141,4863,Female,IB,13.34,13,9,86.11,95.31,65.63,0.39,-0.64,0.3,0.44,0.40,0.41,-0.62,0.70,0.70,-0.86,0.35,-1.11,-0.09,-0.04,-2.28,-2.01
142,4232,Male,IB,13.48,13,7,78.7,93.75,54.84,-0.87,-0.6,1.19,-0.98,1.30,-0.91,-0.59,0.65,0.65,-0.68,-0.50,-0.17,-0.09,-0.32,-0.09,0.49
143,4259,Female,IGCSE (British),12.59,12,7,78.7,98.44,43.48,-0.82,-0.49,-1.66,-0.48,-1.50,-0.44,-0.37,0.68,0.68,0.92,0.97,1.65,1.33,1.17,0.31,0.59
144,4319,Female,IGCSE (British),11.59,7,6,35.19,95.31,53.13,-1.47,-1.74,-1.41,-0.79,-1.07,-0.73,-1.50,-0.36,-0.36,0.21,-0.05,0.06,-0.13,-0.58,0.84,0.94
145,4357,Male,IGCSE (British),14.71,6,7,70.37,97.66,56.25,-0.1,2.5,0.94,-0.48,0.79,-0.45,2.35,-1.71,-1.71,-0.36,0.04,-0.40,0.41,0.04,2.15,2.09
146,4440,Male,IGCSE (British),13.2,9,9,91.67,92.97,55.17,-0.53,-0.9,0.67,-0.48,0.81,-0.45,-0.86,-0.36,-0.36,-1.49,-1.01,-1.57,-1.42,-0.80,-0.91,-1.47
147,4535,Female,IGCSE (British),12.06,6.5,6,80.56,95.7,68.97,-1.15,-1.22,0.23,-0.59,0.57,-0.55,-1.04,-0.66,-0.66,0.31,-0.25,0.13,0.70,-0.40,-0.86,-0.23
148,4535,Female,IGCSE (British),12.06,6.5,6,80.56,95.7,68.97,-1.15,-1.22,0.23,-0.59,0.57,-0.55,-1.04,-0.66,-0.66,0.31,-0.25,0.13,0.70,-0.40,-0.86,-0.23
149,4535,Female,IGCSE (British),12.06,6.5,6,80.56,95.7,64.29,-1.15,-1.22,0,-0.59,0.33,-0.55,-1.04,-0.66,-0.66,0.31,-0.25,0.13,0.70,-0.40,-0.86,-0.23
150,4535,Female,IGCSE (British),12.06,6.5,6,80.56,95.7,64.29,-1.15,-1.22,0,-0.59,0.33,-0.55,-1.04,-0.66,-0.66,0.31,-0.25,0.13,0.70,-0.40,-0.86,-0.23
151,4562,Female,IGCSE (British),12.88,5,7,2.78,57.81,45,0.54,-2.08,-0.77,0.83,-0.62,0.78,-2.00,-1.35,-1.35,-0.73,-0.42,-0.22,-0.65,-0.43,0.33,0.39
152,4712,Female,American Diploma,13.23,13,9,91.67,97.66,60.71,0.38,0.64,0.19,0.48,0.31,0.45,0.68,0.73,0.73,1.60,0.87,1.75,0.84,-0.34,-1.87,-0.88
153,4720,Female,American Diploma,13.67,15,7,87.85,97.66,65.63,-0.64,0.13,-0.5,-0.82,-0.49,-0.76,0.11,1.13,1.13,1.44,1.87,0.76,1.30,0.97,0.14,-0.55
154,4777,Male,IB,12.67,15,7,78.7,96.09,51.61,0.8,0.54,-0.33,1.22,-0.13,1.14,0.65,1.48,1.48,-0.25,0.55,-0.85,0.65,1.31,-1.57,-0.87
155,4783,Male,IB,15.02,8,7,87.96,94.53,53.57,0.27,0.55,0.84,-0.05,0.62,-0.04,0.36,-1.27,-1.27,-0.98,-0.65,-1.01,-1.09,0.04,0.61,-0.30
156,4821,Female,IB,12.86,6,7,30.84,50.78,43.48,0.31,0.24,2.18,0.60,2.45,0.56,0.32,-1.07,-1.07,1.32,1.49,1.59,0.54,0.06,0.53,1.19
157,4822,Female,IB,12.87,7,7,90.74,98.44,65.63,-0.82,0.55,-0.05,-0.62,0.13,-0.58,0.63,-0.80,-0.80,0.70,1.05,1.02,1.00,0.34,-0.19,-0.30
158,4269,Female,IGCSE (British),13.71,6.5,6,95.37,95.31,42.31,0.19,-0.45,-0.85,0.05,-0.87,0.05,-0.47,-1.22,-1.22,-0.47,0.20,-0.68,-0.48,-0.28,1.48,0.83
159,4383,Male,IGCSE (British),13.37,5.5,6,81.48,73.44,71.88,0.58,0.77,-1.02,0.63,-0.98,0.58,0.79,-1.38,-1.38,1.29,0.57,1.21,0.99,0.01,-1.14,0.02
160,4407,Male,IGCSE (British),12.93,12,6,84.26,97.66,62.07,0.25,-0.19,1.13,0.50,1.34,0.46,-0.11,0.56,0.56,-0.30,0.02,0.15,0.65,0.54,0.15,-0.51
161,4453,Female,American Diploma,15.45,10,7,89.62,96.09,70,-0.67,1.38,0.34,-0.90,0.00,-0.83,1.14,-0.86,-0.86,-0.43,-0.15,-0.07,-1.24,-0.60,-1.32,-0.03
162,4518,Female,IGCSE (British),13.15,9,6,88.89,92.97,57.69,-0.28,0.83,0.37,-0.19,0.51,-0.17,0.88,-0.34,-0.34,-1.44,-1.07,-1.54,-1.97,-0.54,-1.35,-1.66
163,4722,Female,IB,13.81,10,8,93.52,95.31,59.38,-0.47,-1.04,-0.14,-0.69,-0.15,-0.65,-1.07,-0.29,-0.29,1.23,1.46,1.57,0.48,1.38,1.26,1.77
164,4739,Male,National,10.29,10,8,75,91.41,62.5,0.28,0.14,-0.31,1.00,0.29,0.81,0.55,0.94,0.94,-1.04,-1.60,-0.71,-1.02,-2.00,-0.71,-0.26
165,4748,Male,National,10.18,2.5,8,76.85,93.75,40.74,-1.8,-0.67,-0.45,-1.73,0.16,-1.34,-0.25,-1.13,-1.13,-0.22,-1.21,-0.15,0.45,0.67,1.65,1.64
166,4903,Female,IGCSE (British),14.32,9,6,100,99.22,68.97,-0.57,-0.88,-0.09,-0.95,-0.20,-0.89,-0.98,-0.74,-0.74,-0.03,-1.06,0.34,-0.17,-0.20,-0.42,-0.31
167,4236,Male,IB,12.34,8,8,86.11,92.19,46.67,-0.92,-1.57,1.79,-0.46,2.14,-0.43,-1.42,-0.34,-0.34,-0.40,-0.39,-0.36,0.27,0.62,0.26,1.30
168,4284,Female,IGCSE (British),12.42,7,8,83.33,95.31,55.17,-1.55,-0.83,0.02,-1.18,0.28,-1.10,-0.69,-0.64,-0.64,-1.31,-0.63,-0.88,-1.67,-1.64,-0.63,-0.47
169,4287,Female,IGCSE (British),13.17,9,6,77.78,98.44,62.5,-0.18,-0.93,-0.68,-0.09,-0.58,-0.08,-0.88,-0.35,-0.35,0.33,1.03,1.05,0.83,-0.28,-1.14,-0.59
170,4305,Female,National,13.83,7,6,79.59,98.05,50,-0.9,0.35,-0.26,-1.16,-0.28,-1.08,0.31,-1.13,-1.13,-1.57,-1.39,-1.33,-1.86,-1.89,0.61,0.64
171,4305,Female,National,13.83,7,6,79.59,98.05,50,-0.9,0.35,-0.26,-1.16,-0.28,-1.08,0.31,-1.13,-1.13,-1.57,-1.39,-1.33,-1.86,-1.89,0.61,0.64
172,4305,Female,National,13.83,7,6,79.59,98.05,58.62,-0.9,0.35,0.26,-1.16,0.26,-1.08,0.31,-1.13,-1.13,-1.57,-1.39,-1.33,-1.86,-1.89,0.61,0.64
173,4305,Female,National,13.83,7,6,79.59,98.05,58.62,-0.9,0.35,0.26,-1.16,0.26,-1.08,0.31,-1.13,-1.13,-1.57,-1.39,-1.33,-1.86,-1.89,0.61,0.64
174,4314,Male,Other?,14.61,12,7,91.67,99.22,75,0.03,0.25,-0.37,-0.34,-0.55,-0.32,0.11,-0.02,-0.02,-0.16,-0.65,-0.97,0.46,0.07,-0.62,0.08
175,4321,Female,IGCSE (British),12.19,5.5,5,76.85,95.31,72.41,-0.29,0.71,0.86,0.28,1.20,0.26,0.88,-0.98,-0.98,-0.48,-0.86,-0.26,-0.95,-0.61,-1.46,-1.80
176,4339,Female,IGCSE (British),14.64,12,8,92.59,94.53,75,0.12,0.88,-0.83,-0.25,-1.04,-0.23,0.74,-0.03,-0.03,-0.14,-0.59,0.02,-0.24,0.22,-0.14,0.13
177,4457,Female,American Diploma,14.72,5,6,79.63,94.44,64.29,-1.07,0,1.15,-1.52,1.01,-1.42,-0.15,-1.99,-1.99,-0.75,-0.24,-0.37,-0.18,-0.17,0.47,0.55
178,4476,Female,IGCSE (British),12.47,9,6,95.37,96.88,62.5,-0.41,0.12,-1.08,0.02,-0.87,0.02,0.25,-0.11,-0.11,1.26,1.29,0.57,0.72,0.95,0.03,0.02
179,4485,Male,IGCSE (British),12.74,11.5,5,91.67,89.06,65.63,-0.83,-0.77,0.12,-0.56,0.33,-0.53,-0.67,0.49,0.49,0.18,-0.53,0.08,0.08,0.16,1.47,1.50
180,4505,Male,IB,13.31,6,8,87.96,94.53,58.06,-0.2,1.69,-0.75,-0.18,-0.68,-0.17,1.71,-1.22,-1.22,1.05,0.33,0.69,1.69,1.76,1.17,1.64
181,4507,Male,IGCSE (British),12.34,16,8,85.19,90.63,57.14,-0.38,0.17,0.99,0.12,1.31,0.11,0.32,1.87,1.87,2.38,2.20,2.38,1.46,1.66,0.09,-0.24
182,4514,Female,IGCSE (British),12.55,8,6,87.04,94.53,55.17,-0.5,-0.06,-0.53,-0.11,-0.31,-0.11,0.06,-0.41,-0.41,-0.05,0.21,-0.19,1.12,0.57,1.33,1.47
183,4558,Male,IGCSE (British),12.89,5,5,81.48,77.34,42.86,-0.42,0.27,-0.76,-0.20,-0.61,-0.19,0.35,-1.35,-1.35,-0.76,-0.26,-0.62,-0.01,0.14,-0.71,-0.20
184,4760,Female,National,12.03,15,5,90.74,95.31,68.75,-1.19,-0.67,-2,-0.62,-1.76,-0.58,-0.48,1.70,1.70,-0.60,-0.73,-0.74,0.15,0.27,1.65,1.43
185,4760,Female,National,12.03,15,5,90.74,95.31,68.75,-1.19,-0.67,-2,-0.62,-1.76,-0.58,-0.48,1.70,1.70,-0.60,-0.73,-0.74,0.15,0.27,1.65,1.43
186,4761,Male,American Diploma,13.07,14,6,99.07,96.09,67.74,-0.04,-0.86,-0.13,0.11,0.01,0.11,-0.80,1.06,1.06,1.34,1.18,0.92,0.80,0.98,-0.27,-0.20
187,4816,Male,IB,12.54,4,6,74.07,70.31,37.5,1.46,0.83,-0.77,1.99,-0.56,1.86,0.95,-1.51,-1.51,1.72,1.97,1.30,-0.88,-1.43,1.64,1.46
188,4886,Female,IGCSE (British),15.09,13,8,89.81,99.22,75,-0.63,-0.76,-2.05,-1.00,-2.41,-0.93,-0.96,0.09,0.09,0.32,-0.43,0.55,0.68,0.69,-0.60,-0.30
189,4907,Male,IGCSE (British),12.83,8,5,100,92.97,59.38,-1.03,-0.76,-1.25,-0.82,-1.11,-0.77,-0.67,-0.51,-0.51,-0.83,-0.84,-0.43,-1.56,-0.23,0.87,-0.61
190,4382,Female,IGCSE (British),13.1,7.5,5,79.63,76.56,62.5,-0.55,-1.85,-0.12,-0.45,0.01,-0.42,-1.79,-0.74,-0.74,-1.04,-1.19,-1.01,-0.40,-0.70,0.47,0.78
191,4382,Female,IGCSE (British),13.1,7.5,5,79.63,76.56,62.5,-0.55,-1.85,-0.12,-0.45,0.01,-0.42,-1.79,-0.74,-0.74,-1.04,-1.19,-1.01,-0.40,-0.70,0.47,0.78
192,4382,Female,IGCSE (British),13.1,7.5,5,79.63,76.56,60.87,-0.55,-1.85,-0.2,-0.45,-0.07,-0.42,-1.79,-0.74,-0.74,-1.04,-1.19,-1.01,-0.40,-0.70,0.47,0.78
193,4382,Female,IGCSE (British),13.1,7.5,5,79.63,76.56,60.87,-0.55,-1.85,-0.2,-0.45,-0.07,-0.42,-1.79,-0.74,-0.74,-1.04,-1.19,-1.01,-0.40,-0.70,0.47,0.78
194,4478,Female,IGCSE (British),12.79,5.5,7,4.63,97.66,59.38,-0.86,-1.96,-0.41,-0.62,-0.23,-0.58,-1.87,-1.18,-1.18,0.23,0.21,0.57,0.81,1.08,0.91,0.31
195,4499,Female,IGCSE (British),12.91,8,7,99.07,92.19,63.33,-0.98,-1.27,0.2,-0.81,0.38,-0.76,-1.19,-0.53,-0.53,-1.27,-1.26,-1.24,0.08,-0.47,-0.49,-0.25
196,4568,Male,IGCSE (British),12.43,8.5,7,93.52,96.88,65.63,-0.86,0.19,-0.88,-0.44,-0.66,-0.41,0.33,-0.23,-0.23,0.24,0.88,0.29,-0.19,0.10,-1.17,-1.65
197,4617,Female,IGCSE (British),13.16,6,4,80.56,96.88,53.13,0.21,0.57,-1.77,0.33,-1.72,0.31,0.62,-1.17,-1.17,-0.74,-0.87,-0.61,-0.92,-1.81,-0.69,-0.40
198,4826,Male,IB,12.69,13,7,92.59,97.66,62.5,0.46,-0.19,-0.86,0.84,-0.68,0.79,-0.08,0.92,0.92,1.73,1.19,1.81,1.11,0.74,-0.88,-1.09
199,4870,Male,IB,12.94,13,7,87.04,97.66,46.67,-0.27,1.02,-0.73,-0.07,-0.59,-0.06,1.09,0.83,0.83,-1.63,-0.80,-1.77,-0.77,-0.61,0.31,0.92
200,4244,Male,IGCSE (British),12.96,6.5,5,95.37,75.78,48.28,-0.6,-0.89,-0.58,-0.43,-0.44,-0.40,-0.82,-0.96,-0.96,-0.60,-1.04,-0.15,-0.88,-0.57,0.84,-0.01
201,4257,Female,IGCSE (British),12.49,12,7,90.74,94.53,67.74,-0.08,1.34,-0.08,0.37,0.17,0.34,1.47,0.71,0.71,-0.42,1.29,-0.80,0.26,0.55,0.18,0.80
202,4289,Female,IGCSE (British),12.97,8.5,4,43.52,92.97,66.67,-1.34,-1.95,0.04,-1.23,0.20,-1.15,-1.88,-0.42,-0.42,-1.25,-0.46,-0.50,-0.42,-0.95,0.63,1.15
203,4293,Male,American Diploma,13.12,7,6,85.12,85.43,15,-0.59,0.44,-2.4,-0.50,-2.36,-0.47,0.49,-0.88,-0.88,-0.53,-0.69,-0.41,-0.09,-0.12,0.55,1.15
204,4293,Male,American Diploma,13.12,7,6,85.12,85.43,15,-0.59,0.44,-2.4,-0.50,-2.36,-0.47,0.49,-0.88,-0.88,-0.53,-0.69,-0.41,-0.09,-0.12,0.55,1.15
205,4293,Male,American Diploma,13.12,7,6,85.12,85.43,39.13,-0.59,0.44,-1,-0.50,-0.91,-0.47,0.49,-0.88,-0.88,-0.53,-0.69,-0.41,-0.09,-0.12,0.55,1.15
206,4293,Male,American Diploma,13.12,7,6,85.12,85.43,39.13,-0.59,0.44,-1,-0.50,-0.91,-0.47,0.49,-0.88,-0.88,-0.53,-0.69,-0.41,-0.09,-0.12,0.55,1.15
207,4372,Male,National,14.77,11,7,75,93.75,65.63,-0.05,0.97,-0.51,-0.42,-0.73,-0.40,0.82,-0.35,-0.35,-0.97,-0.65,-0.36,0.32,0.68,0.39,0.73
208,4492,Female,IGCSE (British),12.82,3,4,73.15,95.31,44.44,-1.2,0.79,-0.57,-1.00,-0.40,-0.93,0.88,-1.88,-1.88,0.05,0.40,0.55,1.52,1.72,0.44,-0.29
209,4549,Female,IGCSE (British),12.5,10,5,81.48,95.31,65.63,-1.65,-0.18,-0.87,-1.32,-0.66,-1.23,-0.05,0.16,0.16,-0.90,-0.49,-1.02,-0.59,-0.37,-0.31,0.20
210,4727,Female,IB,13.82,12,4,84.26,89.84,55.17,-0.51,-0.63,0.49,-0.74,0.51,-0.69,-0.67,0.25,0.25,1.63,1.33,1.54,0.66,0.02,0.94,1.25
211,4750,Male,National,11.99,1,7,88.89,98.44,66.67,-1.14,-1.65,0.59,-0.55,0.95,-0.51,-1.46,-2.15,-2.15,-1.72,-0.37,-2.93,-3.18,-0.87,-0.05,0.07
212,4782,Female,IB,14.52,11,7,91.67,96.88,71.88,0.98,0.94,1.35,0.68,1.26,0.64,0.82,-0.26,-0.26,-0.85,-0.84,-0.45,-0.45,0.01,-0.21,0.47
213,4801,Female,IB,14.95,5.5,7,90.74,97.66,62.07,-1.04,-0.61,0.54,-1.47,0.32,-1.37,-0.79,-1.93,-1.93,0.79,0.43,0.84,0.97,-0.37,-0.48,-0.75
214,4848,Female,IB,13.29,15,7,91.67,98.44,62.5,0.85,0.31,-0.45,0.95,-0.37,0.89,0.34,1.26,1.26,0.38,1.52,-0.11,0.62,1.42,1.30,1.20
215,4860,Male,IB,13.27,5.5,4,90.74,88.28,53.33,-2.15,-0.7,-0.2,-2.25,-0.10,-2.10,-0.67,-1.35,-1.35,-0.80,-0.24,-1.05,-0.12,-0.26,-0.09,0.04
216,4871,Female,IB,12.24,9.5,4,79.63,94.53,52.63,-0.68,-1.15,-0.67,-0.16,-0.40,-0.15,-0.99,0.11,0.11,-0.36,0.03,-0.84,-0.12,-0.25,1.45,1.86
217,4322,Female,IGCSE (British),12.04,14,4,81.48,96.09,71.88,0.57,0.55,0.89,1.27,1.26,1.18,0.74,1.42,1.42,0.60,-0.19,1.34,-0.69,-1.06,0.08,-0.53
218,4400,Female,IGCSE (British),12.93,5.5,4,64.81,96.88,57.69,-0.98,-0.83,0.28,-0.82,0.46,-0.77,-0.75,-1.23,-1.23,-0.43,-0.77,-0.25,-0.63,-0.58,-0.31,-0.92
219,4454,Female,IB,15.55,12,4,92.59,71.09,62.07,-0.58,-1,0.76,-0.74,0.42,-0.68,-1.26,-0.34,-0.34,-0.48,-0.38,-1.39,-1.20,-0.56,-0.33,-0.23
220,4488,Male,IGCSE (British),13.03,5,6,90.74,94.53,62.5,-1.58,-0.2,-0.57,-1.51,-0.44,-1.42,-0.14,-1.40,-1.40,0.36,0.75,0.19,0.75,1.45,1.33,1.35
221,4498,Female,IGCSE (British),13,7,6,72.22,96.09,65.52,-0.01,1.22,-2.23,0.18,-2.16,0.17,1.29,-0.84,-0.84,0.20,-0.18,-0.24,0.38,0.90,0.25,-0.39
222,4656,Female,IGCSE (British),13.47,6.5,5,86.11,95.31,59.38,-0.33,-0.23,0.4,-0.40,0.48,-0.37,-0.22,-1.14,-1.14,-0.17,-1.38,-0.75,0.02,-0.85,-1.30,-0.57
223,4716,Female,American Diploma,14.78,9,4,81.48,96.88,62.5,-0.67,-0.25,-0.01,-1.09,-0.21,-1.02,-0.41,-0.90,-0.90,0.45,0.20,0.31,1.29,0.40,0.87,1.16
224,4737,Male,American Diploma,12.45,6,4,77.78,75.78,58.06,1.67,1.08,-0.97,2.26,-0.75,2.11,1.22,-0.93,-0.93,-1.54,-0.70,-1.02,-0.96,-1.03,-0.31,-0.14
225,4343,Female,IGCSE (British),13.97,8,4,79.63,96.88,71.88,0.14,0.14,-0.2,-0.10,-0.24,-0.09,0.08,-0.90,-0.90,1.75,1.32,1.82,0.65,1.43,-0.55,-1.23
226,4419,Male,IGCSE (British),13.13,9,4,93.52,94.14,68.75,-0.52,-0.47,0.7,-0.43,0.86,-0.40,-0.42,-0.33,-0.33,1.22,1.37,0.50,1.19,0.94,0.20,-1.11
227,4419,Male,IGCSE (British),13.13,9,4,93.52,94.14,68.75,-0.52,-0.47,0.7,-0.43,0.86,-0.40,-0.42,-0.33,-0.33,1.22,1.37,0.50,1.19,0.94,0.20,-1.11
228,4419,Male,IGCSE (British),13.13,9,4,93.52,94.14,62.07,-0.52,-0.47,0.31,-0.43,0.45,-0.40,-0.42,-0.33,-0.33,1.22,1.37,0.50,1.19,0.94,0.20,-1.11
229,4419,Male,IGCSE (British),13.13,9,4,93.52,94.14,62.07,-0.52,-0.47,0.31,-0.43,0.45,-0.40,-0.42,-0.33,-0.33,1.22,1.37,0.50,1.19,0.94,0.20,-1.11
230,4509,Male,IGCSE (British),12.26,8,3,87.04,92.97,53.13,0.18,0.15,-0.64,0.75,-0.38,0.70,0.31,-0.31,-0.31,-0.13,-0.72,0.36,0.48,0.21,-0.90,-1.15
231,4559,Male,IGCSE (British),12.42,15,4,87.04,88.28,64.52,0.81,0.75,-0.64,1.36,-0.40,1.26,0.89,1.57,1.57,0.25,1.04,0.22,-0.24,0.78,-1.23,-1.70
232,4775,Female,IB,13.92,8,4,88.89,96.88,58.33,-0.77,1.04,0.76,-1.06,0.77,-0.98,0.99,-0.88,-0.88,0.90,0.62,1.45,1.09,0.24,-0.98,-0.88
233,4799,Male,IB,15.04,8,4,76.85,96.09,47.37,-0.39,-0.91,-0.76,-0.75,-1.05,-0.70,-1.10,-1.27,-1.27,-0.38,-0.49,-0.22,-1.76,-1.94,0.15,0.89
234,4825,Male,IB,12.81,3,4,99.07,96.88,70.97,-0.89,-0.82,0.13,-0.66,0.33,-0.62,-0.73,-1.88,-1.88,-0.89,-0.49,-0.33,0.77,-0.22,-0.44,-1.33
235,4408,Female,IGCSE (British),13.06,12,3,92.59,96.09,59.38,-0.87,0.25,-0.53,-0.77,-0.41,-0.72,0.31,0.52,0.52,-0.96,-0.87,-1.31,-0.98,-0.46,-1.45,-1.11
236,4697,Female,American Diploma,12.8,12,5,89.81,74.22,59.38,1,-1.05,-0.55,1.37,-0.38,1.28,-0.96,0.61,0.61,-0.30,-0.78,-0.97,-1.66,-1.15,-0.55,-0.72
237,4805,Male,IB,14.99,5.5,5,80.56,96.09,67.74,1.74,2.06,1.9,1.52,1.73,1.42,1.88,-1.95,-1.95,-1.04,-1.43,-0.38,-1.58,-2.42,-0.84,-1.16
238,4833,Male,IB,14.1,4,5,80.56,75,64.52,2.21,1.47,0.81,2.08,0.78,1.94,1.40,-2.05,-2.05,-0.48,-0.48,-0.92,-0.44,-1.29,0.27,-0.13
239,4235,Male,IB,12.9,9.5,5,93.52,98.44,65.38,0.14,-1.54,0.72,0.39,0.92,0.37,-1.46,-0.12,-0.12,-0.09,0.01,0.74,0.43,0.40,0.55,0.78
240,4299,Male,IGCSE (British),12.17,7,2,93.52,96.88,60,-1.29,-0.47,-1.03,-0.79,-0.77,-0.73,-0.30,-0.56,-0.56,0.65,0.91,0.63,-0.50,0.39,0.74,1.14
241,4302,Female,IGCSE (British),11.95,12,2,97.22,99.22,56.67,-2.42,-1.04,-1.86,-1.92,-1.60,-1.78,-0.84,0.90,0.90,0.36,0.04,0.24,-0.39,-0.87,0.03,0.14
242,4490,Male,IGCSE (British),12.59,1,2,76.85,69.53,67.74,0.76,0.35,-0.37,1.22,-0.15,1.14,0.47,-2.36,-2.36,-0.91,-1.06,-0.69,-0.53,1.06,0.29,-0.49
243,4616,Male,IGCSE (British),13.57,7,3,88.89,93.75,56.25,0.9,0.65,-0.28,0.87,-0.25,0.82,0.64,-1.04,-1.04,-1.01,0.04,-0.54,-0.42,-0.55,-0.62,-1.30
244,4753,Male,National,10.68,10,3,90.74,91.41,61.54,0.17,2.25,1.32,0.99,1.95,0.88,2.64,0.80,0.80,-0.01,-0.22,0.74,0.80,0.21,1.70,1.75
245,4753,Male,National,10.68,10,3,90.74,91.41,61.54,0.17,2.25,1.32,0.99,1.95,0.88,2.64,0.80,0.80,-0.01,-0.22,0.74,0.80,0.21,1.70,1.75
246,4765,Female,IB,14.26,12,5,79.63,92.97,75,1.14,1.41,0.33,0.89,0.25,0.83,1.32,0.10,0.10,1.34,1.54,0.76,1.86,1.89,2.37,2.45
247,4773,Male,IB,13.48,7,2,87.96,92.19,64.29,-0.87,0.33,0.46,-0.98,0.54,-0.91,0.34,-1.01,-1.01,1.47,1.07,1.33,1.33,0.83,1.05,1.69
248,4850,Male,IB,14.05,7,2,93.52,87.5,71.88,1.58,-1.39,0.9,1.42,0.89,1.33,-1.45,-1.20,-1.20,-1.55,-1.29,-1.58,-1.61,-1.84,-0.25,-0.38
249,4224,Female,IB,12.58,9,2,76.85,96.88,55.56,-0.91,-1.68,-0.04,-0.57,0.19,-0.53,-1.56,-0.14,-0.14,0.55,0.66,0.97,0.52,0.88,-0.18,0.40
250,4513,Female,IGCSE (British),13.44,0,1,89.81,92.19,45,-2.45,-1.17,-0.9,-2.65,-0.86,-2.48,-1.16,-2.92,-2.92,0.97,-0.10,0.73,0.99,0.09,-0.45,-0.43
251,4240,Male,IGCSE (British),14.29,6,2,91.67,94.53,62.07,0.45,0.06,0.19,0.15,0.10,0.14,-0.03,-1.56,-1.56,-2.19,-1.72,-2.58,-2.74,-2.02,0.94,0.86
252,4686,Male,IGCSE (British),13.17,8.5,4,90.74,98.29,71.43,-0.61,0.61,0.02,-0.55,0.14,-0.51,0.65,-0.49,-0.49,1.49,1.21,1.27,1.49,1.61,-2.26,-1.99
253,4693,Female,American Diploma,10.62,3,2,94.44,99.22,71.88,-1.15,0.09,0.76,-0.53,1.37,-0.46,0.46,-1.14,-1.14,-0.23,0.78,-0.43,-0.58,-0.14,-1.24,-1.14
254,4819,Male,IB,13.14,5,4,16.83,73.44,8.33,-0.25,-1.51,-2.46,-0.15,-2.43,-0.14,-1.46,-1.44,-1.44,0.80,0.07,0.45,0.80,0.82,0.95,0.74
255,4421,Male,IB,12.83,7,1,95.37,99.22,38.1,-0.98,-1.54,-0.52,-0.77,-0.35,-0.72,-1.45,-0.78,-0.78,-0.21,0.07,0.08,0.38,-0.43,-1.45,-1.00
